tweet_id, tweet_time, tweet_author, tweet_author_id, tweet_language, tweet_geo, tweet_text, tweet_hash
675692212592771072,Sat Dec 12 15:02:31 +0000 2015,NYC_DOT,37687633,en,New York City,Reminder: #BeltParkway westbound traffic shift btn #MillBasinBridge &amp; #FlatbushAve exit begins tonight at 11PM. https://t.co/zWk3op06Cx,"BeltParkway,MillBasinBridge,FlatbushAve"
675435672740737024,Fri Dec 11 22:03:08 +0000 2015,NYC_DOT,37687633,en,New York City,"Reminder: #GrandStreetBridge CLOSED both directions on Saturdays &amp; Sundays, 12/5 thru 12/20, 7am-3pm. Details below: https://t.co/R52TGfLl9W",GrandStreetBridge
675420665151938561,Fri Dec 11 21:03:29 +0000 2015,NYC_DOT,37687633,en,New York City,"REMINDER: #CentralPark 96th St Transverse closed tomorrow, Sat 12/12 from 12:01am-6am. https://t.co/3vQbkmclsv",CentralPark
675402541748903944,Fri Dec 11 19:51:28 +0000 2015,NYC_DOT,37687633,en,New York City,@hirsch1402 Call 212-839-4750 for an appointment for a free car seat check by a certified car seat technician. Next check in Queens is 12/23,
675393454269157376,Fri Dec 11 19:15:22 +0000 2015,NYC_DOT,37687633,en,New York City,No overnight detours for Manhattan-bound traffic on #BrooklynBridge this weekend. #BkBridge https://t.co/JmoIlyuTT3 https://t.co/p1OScXVl94,"BrooklynBridge,BkBridge"
675392979234856960,Fri Dec 11 19:13:29 +0000 2015,NYC_DOT,37687633,en,New York City,"@VamosMets @nyc311 Please write to our Commissioner to share this (select ""employee""): https://t.co/AsygYvzDCE",
675385877955235840,Fri Dec 11 18:45:16 +0000 2015,NYC_DOT,37687633,en,New York City,#KnowBeforeYouGo Check out this weekend's traffic advisory here: https://t.co/cqP74IzRnN #nycstreets,"KnowBeforeYouGo,nycstreets"
675371037266178050,Fri Dec 11 17:46:17 +0000 2015,NYC_DOT,37687633,en,New York City,"Schedule an appt for your free #CarSeat check in #Brooklyn, 12/15 at #Canarsie Parking Lot: https://t.co/ASvQqXagam https://t.co/vCYyCo5a4o","CarSeat,Brooklyn,Canarsie"
675349382208843776,Fri Dec 11 16:20:14 +0000 2015,NYC_DOT,37687633,en,New York City,Surveyor has marked alignment for barriers to be installed on #Brooklyn side of #PulaskiBridge. #nycbridges #bikenyc https://t.co/xCa7I18GlI,"Brooklyn,PulaskiBridge,nycbridges,bikenyc"
675339212791631872,Fri Dec 11 15:39:50 +0000 2015,NYC_DOT,37687633,en,New York City,"btn #GrandSt &amp; #EastBroadway, making it easier to cross the street! @DanielSquadron @CM_MargaretChin https://t.co/yYBFYUTSSb (2/2)","GrandSt,EastBroadway"
675339014606598145,Fri Dec 11 15:39:02 +0000 2015,NYC_DOT,37687633,en,New York City,"Thanks to #SewardParkCoop residents for working with us, this spring we’ll install a midblock crossing &amp; traffic signal on #ClintonSt (1/2)","SewardParkCoop,ClintonSt"
